soa_current_mA,bpd_peak_voltage_mean_mV,bpd_peak_voltage_sd_mV,scan_cv_pct,reverse_peak_voltage_mV,reverse_delta_pct,peak_power_mean_mW,peak_power_sd_mW,detector_input_peak_power_uW,direct_meter_power_mean_mW,direct_meter_difference_mW,direct_meter_difference_pct,raw_complete_pulses,raw_peak_cv_pct,raw_apparent_width_mean_ns,raw_apparent_width_sd_ns,raw_period_mean_us,raw_period_sd_us,power_method
200,86.0434,1.5924593558392615,1.8507629357269253,82.623,-3.9752032114026186,49.35428652186094,0.9134308421390724,7.822127272727273,46.03,3.324286521860941,7.221999830243191,399,4.742794513702393,94.13533834586467,9.116318645789326,500.0029145728643,0.02651073141757142,PD-500B datasheet conversion
300,134.732,1.6318149404880407,1.211156177068581,132.05,-1.990618412849203,77.2819499422776,0.9360051104849483,12.248363636363637,77.24,0.041949942277611285,0.054311162969460494,399,2.6290042400360107,98.69674185463658,4.94245929985073,500.0030653266331,0.02639843430529789,PD-500B datasheet conversion
400,191.794,0.9999899999500012,0.5213875303450582,190.97,-0.42962762130202836,110.01257538839468,0.5735918498865437,17.435818181818185,105.7,4.312575388394677,4.080014558556932,399,1.7310930490493774,99.89974937343358,2.002504697287036,500.00286432160806,0.025568334544931907,PD-500B datasheet conversion
500,247.73600000000002,0.6012736481835815,0.2427074176476497,254.61,2.774727936190136,142.10077153831372,0.3448891130580301,22.521454545454546,133.14000000000001,8.960771538313708,6.730337643318091,399,1.4446110725402832,101.70426065162907,5.590979534303055,500.00296482412057,0.027199306718886335,PD-500B datasheet conversion
600,303.38399999999996,1.1847489185477231,0.3905113382867005,303.78,0.1305276481291087,174.0203299979808,0.6795691195660465,27.580363636363632,159.42000000000002,14.600329997980793,9.15840546856153,399,1.154441237449646,102.5062656641604,6.629789315766855,500.0030653266332,0.02677738723759818,PD-500B datasheet conversion
700,357.312,1.7678574603174355,0.4947657678212418,357.97,0.18415278524091422,204.95330060991517,1.0140387714376247,32.48290909090909,,,,399,1.0079199075698853,102.65664160401002,6.796385364255831,500.00286432160806,0.02645916360081065,PD-500B datasheet conversion
800,410.37600000000003,1.8077001963821304,0.44049851755027836,415.57,1.2656685576154454,235.3906829076397,1.036892468659634,37.306909090909095,,,,399,0.8807315230369568,102.80701754385964,6.955735919953669,500.00301507537694,0.025412561083537975,PD-500B datasheet conversion
900,461.17600000000004,2.28380822312205,0.4952140230892435,461.65,0.10278071712316614,264.5294402709068,1.309986883421022,41.92509090909091,,,,399,0.7728351354598999,102.95739348370927,7.108328275863809,500.00301507537694,0.026876989565970223,PD-500B datasheet conversion
1000,512.766,1.4124199092338094,0.2754511627591942,515.41,0.5156348119805146,294.1213397270279,0.8101606502010348,46.6150909090909,,,,399,0.7415649890899658,102.85714285714286,7.007328744809401,500.00301507537694,0.02533314102365327,PD-500B datasheet conversion
1100,560.6560000000001,3.007495635907055,0.5364244092468563,561.33,0.12021631802744966,321.5909281153519,1.7250922363342558,50.96872727272728,,,,399,0.6928168535232544,102.95739348370927,7.108328275863809,500.00301507537694,0.027100982421861184,PD-500B datasheet conversion
1200,609.758,3.457523680323808,0.5670321144329075,615.25,0.9006851898622014,349.7557167777759,1.9832272361949965,55.432545454545455,,,,399,0.6824185848236084,103.10776942355889,7.2545888985803,500.00301507537694,0.03572854236340086,PD-500B datasheet conversion
1300,656.582,3.441753913341262,0.5241925476697902,657.06,0.07280126473158749,376.6138501395401,1.9741817359237401,59.68927272727273,,,,399,0.9518254399299622,103.15789473684211,7.302001624043582,500.00301507537694,0.041129576821781595,PD-500B datasheet conversion
1400,699.51,4.050925820105815,0.5791090649319973,703.57,0.5804062843990878,401.2372473066726,2.3236012710365612,63.59181818181818,,,,399,1.4502685070037842,103.10776942355889,7.254588898580299,500.0029145728644,0.04330836928431759,PD-500B datasheet conversion
1500,745.8420000000001,3.8804535817349683,0.520278233424099,749.65,0.5105638995926589,427.8131706561782,2.2258188066455933,67.80381818181819,,,,399,1.6700754165649414,103.30827067669173,7.4403967829920985,500.0032663316583,0.04201936008284331,PD-500B datasheet conversion
1600,788.8499999999999,1.7008233300375506,0.21560795208690509,791.89,0.38537110984345285,452.482455630182,0.9755881561367752,71.71363636363635,,,,399,1.8030084371566772,103.25814536340852,7.394893496056075,500.00311557788945,0.04175424934758167,PD-500B datasheet conversion
1700,828.7539999999999,4.3782736323806715,0.5282959276673985,830.13,0.16603238114085606,475.37129369757986,2.5113671859041267,75.34127272727271,,,,399,1.8161627054214478,103.10776942355889,7.2545888985803,500.0029145728643,0.03976692471072832,PD-500B datasheet conversion
1800,867.722,3.4181164403805693,0.3939183794326489,872.37,0.5356554288124566,497.72324442458364,1.9606233384969234,78.88381818181819,,,,399,1.7885178327560425,103.35839598997494,7.485286971037111,500.00316582914576,0.04008841158947749,PD-500B datasheet conversion
1900,906.3860000000001,4.221999526290832,0.4658059067870456,907.77,0.15269432669965122,519.9008214854765,2.4217287359137516,82.39872727272727,,,,399,1.754072666168213,103.10776942355889,7.2545888985803,500.0029145728643,0.03513984639589847,PD-500B datasheet conversion
2000,941.5540000000001,3.8824322273544167,0.4123430230612813,945.49,0.41803231678692054,540.0731013860942,2.2269537529962244,85.59581818181819,,,,399,1.5772838592529297,103.15789473684211,7.302001624043582,500.00301507537694,0.03381613902126152,PD-500B datasheet conversion
