bias_magnitude_V,off_bias_V,dark_nW,leakage_reading_nW,on_peak_power_mW,scan_id,scan_direction,net_static_leakage_nW,static_extinction_ratio_dB
0.0,-0.0,3.882,15560.0,209.2,1,forward,15556.118,41.286604513925774
1.0,-1.0,4.161,7954.0,208.2,1,forward,7949.839,44.18122391753218
2.0,-2.0,4.523,162.4,205.5,1,forward,157.877,61.144929609323924
3.0,-3.0,4.722,5.433,204.6,1,forward,0.7109999999999994,84.59036028646375
4.0,-4.0,4.734,6.55,203.7,1,forward,1.8159999999999998,80.49875184815099
5.0,-5.0,4.662,7.131,202.4,1,forward,2.4690000000000003,79.13689418235829
0.0,-0.0,4.001,15540.0,208.3,2,forward,15535.999,41.273500853378906
1.0,-1.0,4.337,7888.0,207.2,2,forward,7883.663,44.19661699693148
2.0,-2.0,4.211,161.5,206.7,2,forward,157.289,61.186421253094366
3.0,-3.0,4.499,6.126,205.5,2,forward,1.6270000000000007,81.0142427327523
4.0,-4.0,4.213,6.353,204.3,2,forward,2.1399999999999997,79.79854593283257
5.0,-5.0,4.004,7.542,202.4,2,forward,3.5380000000000003,77.57452679594057
0.0,-0.0,4.199,16360.0,207.1,3,forward,16355.801,41.02508281012601
1.0,-1.0,3.904,8044.0,207.3,3,forward,8040.096,44.11338067770614
2.0,-2.0,4.002,171.5,206.5,3,forward,167.498,60.90910430256269
3.0,-3.0,3.914,6.599,204.8,3,forward,2.685,78.82385662268219
4.0,-4.0,3.888,7.543,204.3,3,forward,3.6550000000000002,77.47380985338569
5.0,-5.0,3.939,8.122,203.1,3,forward,4.183,76.86222058824177
0.0,-0.0,4.37,15730.0,206.6,4,forward,15725.63,41.1852226401746
1.0,-1.0,4.224,8022.0,205.7,4,forward,8017.776,44.09180372896068
2.0,-2.0,4.27,167.4,204.9,4,forward,163.13,60.99008122214588
3.0,-3.0,4.256,5.216,204.0,4,forward,0.96,83.2735893438633
4.0,-4.0,4.166,6.266,202.7,4,forward,2.0999999999999996,79.8463445395909
5.0,-5.0,4.143,7.126,201.5,4,forward,2.9830000000000005,78.29621797115065
0.0,-0.0,4.099,15630.0,206.8,5,forward,15625.901,41.21705465970805
1.0,-1.0,4.065,7972.0,206.0,5,forward,7967.935,44.12521437781883
2.0,-2.0,4.036,165.6,204.8,5,forward,161.564,61.029853554140196
3.0,-3.0,3.977,5.222,203.9,5,forward,1.2450000000000006,82.14247874346384
4.0,-4.0,4.031,6.315,202.9,5,forward,2.2840000000000007,79.48585947459536
5.0,-5.0,3.981,7.016,201.6,5,forward,3.035,78.22331832362211
0.0,-0.0,3.988,15510.0,207.5,6,reverse,15506.012,41.265179853168696
1.0,-1.0,3.825,7946.0,205.7,6,reverse,7942.175,44.13294839501107
2.0,-2.0,3.92,163.6,204.9,6,reverse,159.68,61.082914344578995
3.0,-3.0,3.931,5.207,203.8,6,reverse,1.2759999999999998,82.03353505285264
4.0,-4.0,3.885,6.224,202.8,6,reverse,2.3390000000000004,79.38037728852146
5.0,-5.0,3.878,7.082,202.1,6,reverse,3.2039999999999997,77.99873806103105
