"record_id","title","authors","year","document_type","journal_or_conference","volume_issue_pages","doi","stable_url","metadata_source","search_id","primary_theme","secondary_tags","domestic_or_international","evidence_level","fulltext_status","include_status","exclusion_reason","bibkey","chap1_use","chap2_use","claim_ids","metadata_verified_at","publication_language","recent_five_year"
"LIT001","Strain sensing based on coherent Rayleigh scattering in an optical fibre","R. Posey; G. A. Johnson; S. T. Vohra","2000","journal article","Electronics Letters","36(20):1688-1689","10.1049/el:20001200","https://doi.org/10.1049/el:20001200","DOI metadata","S001","T1","coherent Rayleigh scattering; strain sensing","international","B","metadata and abstract verified","pilot include","","posey2000strain","early coherent-Rayleigh sensing","Rayleigh phase-sensing basis","","2026-07-27","en","no"
"LIT002","Distributed Vibration Sensor Based on Coherent Detection of Phase-OTDR","Yuelan Lu; Tao Zhu; Liang Chen; Xiaoyi Bao","2010","journal article","Journal of Lightwave Technology","28(22):3243-3249","10.1109/JLT.2010.2078798","https://doi.org/10.1109/JLT.2010.2078798","DOI metadata and publisher page","S001","T1","heterodyne detection; moving average; moving differential","international","A","publisher abstract verified","pilot include","","lu2010distributed","coherent phi-OTDR milestone","heterodyne signal model and processing","","2026-07-27","en","no"
"LIT003","Phase-sensitive OTDR system based on digital coherent detection","Zhengqing Pan; Kezhen Liang; Qing Ye; Haiwen Cai; Ronghui Qu; Zujie Fang","2011","conference paper","Optical Sensors and Biophotonics","8311:83110S","10.1364/ACP.2011.83110S","https://doi.org/10.1364/ACP.2011.83110S","DOI metadata and publisher page","S001","T3","digital coherent detection; heterodyne; phase recovery","domestic","B","publisher abstract verified","pilot include","","pan2011phase","digital coherent phi-OTDR development","coherent field reconstruction","","2026-07-27","en","no"
"LIT004","Characterization of the chirp and intensity modulation properties of an SOA-MZI wavelength converter","S.-C. Cao; J. C. Cartledge","2002","journal article","Journal of Lightwave Technology","20(4):689-695","10.1109/50.996590","https://doi.org/10.1109/50.996590","DOI metadata and publisher page","S002","T2","SOA chirp; intensity modulation; linewidth enhancement","international","C","publisher metadata verified","pilot include","","cao2002characterization","adjacent SOA chirp mechanism","SOA phase-amplitude coupling","","2026-07-27","en","no"
"LIT005","Fundamentals of Optical Fiber Sensing Schemes Based on Coherent Optical Time Domain Reflectometry: Signal Model Under Static Fiber Conditions","Leonid B. Liokumovich; Nikolai A. Ushakov; Oleg I. Kotov; Mikhail A. Bisyarin; Arthur H. Hartog","2015","journal article","Journal of Lightwave Technology","33(17):3660-3671","10.1109/JLT.2015.2449085","https://doi.org/10.1109/JLT.2015.2449085","DOI metadata and publisher page","S001","T1","coherent OTDR; Rayleigh signal model; static fiber","international","A","publisher abstract verified","pilot include","","liokumovich2015fundamentals","technical model foundation","core coherent OTDR signal model","","2026-07-27","en","no"
"LIT006","Experimental investigation of chirp properties induced by signal amplification in quantum-dot semiconductor optical amplifiers","Motoharu Matsuura; Hiroaki Ohta; Ryota Seki","2015","journal article","Optics Letters","40(6):914-917","10.1364/OL.40.000914","https://doi.org/10.1364/OL.40.000914","DOI metadata and publisher page","S002","T2","SOA dynamic chirp; gain; injected power","international","C","publisher abstract verified","pilot include","","matsuura2015chirp","SOA chirp mechanism evidence","carrier-gain-chirp relationship","","2026-07-27","en","no"
"LIT007","Contributed Review: Distributed optical fibre dynamic strain sensing","Ali Masoudi; Trevor P. Newson","2016","review article","Review of Scientific Instruments","87(1):011501","10.1063/1.4939482","https://doi.org/10.1063/1.4939482","DOI metadata and publisher metadata","S001","T1","dynamic strain; distributed sensing; Rayleigh; Brillouin","international","A","full text link identified","pilot include","","masoudi2016review","research background and method comparison","dynamic sensing principles","","2026-07-27","en","no"
"LIT008","Impact of I/Q Amplitude Imbalance on Coherent Phi-OTDR","Yun Fu; Naitian Xue; Zinan Wang; Bin Zhang; Ji Xiong; Yunjiang Rao","2018","journal article","Journal of Lightwave Technology","36(4):1069-1075","10.1109/JLT.2017.2768587","https://doi.org/10.1109/JLT.2017.2768587","DOI metadata and publisher page","S004","T4","I/Q imbalance; coherent detection; phase error","domestic","A","publisher metadata verified","pilot include","","fu2018iq","coherent demodulation limitations","I/Q imbalance model","","2026-07-27","en","no"
"LIT009","Enhancing the performance of coherent OTDR systems with polarization diversity complementary codes","Christian Dorize; Elie Awwad","2018","journal article","Optics Express","26(10):12878-12890","10.1364/OE.26.012878","https://doi.org/10.1364/OE.26.012878","DOI metadata and publisher page","S004","T4","polarization diversity; complementary codes; coherent OTDR","international","A","publisher abstract verified","pilot include","","dorize2018polarization","polarization fading and diversity","polarization diversity principle","","2026-07-27","en","no"
"LIT010","Recent Advances in Distributed Acoustic Sensing Based on Phase-Sensitive Optical Time Domain Reflectometry","Yonas Muanenda","2018","review article","Journal of Sensors","2018:1-16","10.1155/2018/3897873","https://doi.org/10.1155/2018/3897873","DOI metadata and publisher page","S001","T1","DAS review; phi-OTDR; system evolution","international","A","open full text","pilot include","","muanenda2018advances","research evolution and comparison","system principle overview","","2026-07-27","en","no"
