"record_id","bibkey","year","publication_language","document_type","title","author_or_first_author","source","verification_basis","stable_identifier"
"LIT094","ran2025dynamic_thesis","2025","zh","master thesis","φ-OTDR动态应变测量范围提升方法研究","冉玉娇","桂林电子科技大学","CNKI题名、作者、导师、学校、年份、硕士类型与摘要","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2026&filename=1025881920.nh"
"LIT095","liu2025rayleigh_thesis","2025","zh","master thesis","基于瑞利散射的分布式光纤振动监测系统设计及性能优化研究","刘莹淮","北京邮电大学","CNKI题名、作者、导师、学校、年份、硕士类型与摘要","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CMFD&dbname=CMFD2026&filename=1025073624.nh"
"LIT096","huang2025cable_thesis","2025","zh","master thesis","基于分布式光纤传感的风电地埋电缆安全监测技术研究与应用","黄森清","中国科学技术大学","学校实验室公开的完整工程硕士学位论文","https://www.niclab.ac.cn/assets/pdf/2025-%E5%9F%BA%E4%BA%8E%E5%88%86%E5%B8%83%E5%BC%8F%E5%85%89%E7%BA%A4%E4%BC%A0%E6%84%9F%E7%9A%84%E9%A3%8E%E7%94%B5%E5%9F%8B%E7%94%B5%E7%BC%86%E5%AE%89%E5%85%A8%E7%9B%91%E6%B5%8B%E6%8A%80%E6%9C%AF%E7%A0%94%E7%A9%B6%E4%B8%8E%E5%BA%94%E7%94%A8.pdf"
"LIT097","tian2022classification_thesis","2022","zh","master thesis","基于φ-OTDR光纤传感系统的扰动信号分类研究","田曼伶","北京交通大学","中国电子学会官方硕士学位论文入选名单及正式文献引文交叉核验","https://yb.cie.org.cn/list_223/13225.html"
"LIT098","zhang2023pipeline_thesis","2023","zh","doctoral thesis","基于分布式光纤传感的供水管道泄漏检测理论与技术研究","张令春","合肥工业大学","CNKI题名、作者、导师、学校、年份、博士类型与摘要","https://cnki.istiz.org.cn/kcms/detail/detail.aspx?dbcode=CDFD&dbname=CDFD2025&filename=1024692006.nh"
"LIT099","sun2023voice_cn","2023","zh","journal article","基于相位敏感光时域反射计的语音与脚步振动信号监测系统研究","孙文达","激光与光电子学进展","期刊官方全文、卷期、文章号与DOI","10.3788/LOP222964"
"LIT100","si2023fft_cn","2023","zh","journal article","基于快速傅里叶变换的分布式振动传感信号解调分析","司召鹏","中国激光","期刊官方全文、完整作者、卷期、文章号与DOI","10.3788/CJL220902"
"LIT101","liu2024clustering_cn","2024","zh","journal article","Φ-OTDR系统振动信号的聚类识别方法","刘念超","红外与激光工程","期刊官方HTML/PDF、完整作者、卷期、文章号与DOI","10.3788/IRLA20240294"
"LIT102","shang2024dualaom_cn","2024","zh","journal article","基于双声光调制器Φ-OTDR系统的抑制频漂方法","尚秋峰","半导体光电","期刊官方索引、CNKI索引及文摘数据库交叉核验题名作者卷期页码","https://www.semiopto.net/"
"LIT103","zhang2025submarine_cn","2025","zh","journal article","分布式声学传感在海缆锚害监测中的应用（特邀）","张鸿","光通信研究","期刊官方HTML与全文PDF、完整作者、期次、文章号与DOI","10.13756/j.gtxyj.2025.250098"
"LIT105","sha2018longhaul_thesis","2018","zh","doctoral thesis","长距离相位敏感光时域反射分布式扰动探测系统研究","沙洲","天津大学","本地PDF封面页核验：申请博士学位、学校、作者、题名、年份","本地PDF：文献\长距离DAS\长距离相位敏感光时域反射分布式扰动探测系统研究_沙洲.pdf"
"LIT106","shan2019key_thesis","2019","zh","doctoral thesis","基于Φ-OTDR的分布式光纤振动传感系统关键技术研究","单媛媛","南京大学","本地PDF封面页核验：申请博士学位、学校、作者、题名、年份","本地PDF：文献\文献——za\基于Φ-OTDR的分布式光纤振动传感系统关键技术研究_单媛媛.pdf"
"LIT107","li2023highsensitivity_thesis","2023","zh","master thesis","高灵敏度分布式光纤声波传感关键技术研究","李志伟","电子科技大学","本地PDF封面页核验：硕士学位、学校、作者、题名、年份","本地PDF：文献\文献——za\高灵敏度分布式光纤声波传感关键技术研究_李志伟.pdf"
"LIT108","sun2023polarization_thesis","2023","zh","master thesis","偏振分集相干光时域反射系统技术研究","孙茂程","齐鲁工业大学","本地PDF封面页核验：硕士学位、学校、作者、题名、年份","本地PDF：文献\DAS偏振分集\偏振分集相干光时域反射系统技术研究_孙茂程.pdf"
"LIT109","wei2024positioning_thesis","2024","zh","master thesis","基于φ-OTDR的分布式光纤传感系统扰动定位信号处理方法研究","魏佳鑫","广东工业大学","本地PDF封面页核验：硕士学位、学校、作者、题名、年份","本地PDF：文献\差分间距\基于φ-OTDR的分布式光纤传感系统扰动定位信号处理方法研究_魏佳鑫.pdf"
"LIT110","sun2024unwrapping_thesis","2024","zh","master thesis","基于相位解调Φ-OTDR的二维相位解卷绕算法研究","孙健晖","电子科技大学","本地PDF封面页核验：硕士学位、学校、作者、题名、年份","本地PDF：文献\解调\基于相位解调Φ-OTDR的二维相位解卷绕算法研究_孙健晖.pdf"
"LIT111","kong2025iq_thesis","2025","zh","master thesis","光纤分布式声波传感系统I/Q相位解调算法研究","孔喆","齐鲁工业大学","本地PDF封面页核验：硕士学位、学校、作者、题名、年份","本地PDF：文献\文献——za\光纤分布式声波传感系统I_Q相位解调算法研究_孔喆.pdf"
